+-------------+------------+------------------+
| AMKA        | total_cost | department_name  |
| 13948546116 |      55387 | Dermatology      |
| 13948546116 |     250105 | Emergency        |
| 13948546116 |     280209 | Endocrinology    |
| 13948546116 |     128127 | Gastroenterology |
| 13948546116 |     112086 | Gynecology       |
| 13948546116 |     100480 | Neurology        |
| 13948546116 |     236100 | Neurosurgery     |
| 13948546116 |     322415 | Oncology         |
| 13948546116 |     171519 | Orthopedics      |
| 13948546116 |     169894 | Pediatrics       |
| 13948546116 |     342226 | Psychiatry       |
| 13948546116 |     265780 | Pulmonology      |
| 13948546116 |     311073 | Radiology        |
| 13967096273 |     121566 | Anesthesiology   |
| 13967096273 |     205188 | Cardiology       |
| 13967096273 |     139500 | Dermatology      |
| 13967096273 |     389227 | Emergency        |
| 13967096273 |     442824 | Endocrinology    |
| 13967096273 |     124231 | Gastroenterology |
| 13967096273 |     113922 | Gynecology       |
| 13967096273 |      98028 | Neurology        |
| 13967096273 |     228514 | Neurosurgery     |
| 13967096273 |     331505 | Oncology         |
| 13967096273 |      98627 | Orthopedics      |
| 13967096273 |      57399 | Pediatrics       |
| 13967096273 |      50977 | Psychiatry       |
| 13967096273 |      49469 | Pulmonology      |
| 13967096273 |      98758 | Radiology        |
| 14109005682 |      89934 | Anesthesiology   |
| 14109005682 |     110146 | Cardiology       |
| 14109005682 |      97882 | Dermatology      |
| 14109005682 |     347603 | Emergency        |
| 14109005682 |     329597 | Endocrinology    |
| 14109005682 |     114225 | Gastroenterology |
| 14109005682 |      98723 | Gynecology       |
| 14109005682 |     109226 | Neurology        |
| 14109005682 |     120957 | Neurosurgery     |
| 14109005682 |     395170 | Oncology         |
| 14109005682 |     127416 | Orthopedics      |
| 14109005682 |     105374 | Pediatrics       |
| 14109005682 |     230698 | Psychiatry       |
| 14109005682 |     147351 | Pulmonology      |
| 14109005682 |     190745 | Radiology        |
| 14272369915 |      50202 | Anesthesiology   |
| 14272369915 |      72309 | Cardiology       |
| 14272369915 |      38819 | Dermatology      |
| 14272369915 |      80427 | Emergency        |
| 14272369915 |      61265 | Endocrinology    |
| 14272369915 |     123465 | Gastroenterology |
| 14272369915 |     114496 | Gynecology       |
| 14272369915 |      99658 | Neurology        |
| 14272369915 |     240892 | Neurosurgery     |
| 14272369915 |     315877 | Oncology         |
| 14272369915 |     204923 | Orthopedics      |
| 14272369915 |     162231 | Pediatrics       |
| 14272369915 |     286179 | Psychiatry       |
| 14272369915 |     211185 | Pulmonology      |
| 14272369915 |     269942 | Radiology        |
| 14334281355 |     155585 | Anesthesiology   |
| 14334281355 |     152807 | Cardiology       |
| 14334281355 |     143021 | Dermatology      |
| 14334281355 |     511128 | Emergency        |
| 14334281355 |     724707 | Endocrinology    |
| 14334281355 |     133198 | Gastroenterology |
| 14334281355 |     106735 | Gynecology       |
| 14334281355 |     109787 | Neurology        |
| 14334281355 |     231853 | Neurosurgery     |
| 14334281355 |     318694 | Oncology         |
| 14334281355 |      46396 | Orthopedics      |
| 14334281355 |      58447 | Pediatrics       |
| 14334281355 |     161779 | Psychiatry       |
| 14334281355 |     109026 | Pulmonology      |
| 14334281355 |      74771 | Radiology        |
| 14381439992 |      95343 | Anesthesiology   |
| 14381439992 |     111116 | Cardiology       |
| 14381439992 |      96751 | Dermatology      |
| 14381439992 |     382491 | Emergency        |
| 14381439992 |     305518 | Endocrinology    |
| 14381439992 |     125061 | Gastroenterology |
| 14381439992 |     135162 | Gynecology       |
| 14381439992 |     117274 | Neurology        |
| 14381439992 |     278789 | Neurosurgery     |
| 14381439992 |     215845 | Oncology         |
| 14381439992 |     139916 | Orthopedics      |
| 14381439992 |     127729 | Pediatrics       |
| 14381439992 |     201925 | Psychiatry       |
| 14381439992 |     160406 | Pulmonology      |
| 14381439992 |     165048 | Radiology        |
| 14777238567 |      38595 | Anesthesiology   |
| 14777238567 |      39070 | Cardiology       |
| 14777238567 |      54958 | Dermatology      |
| 14777238567 |     310469 | Emergency        |
| 14777238567 |     244877 | Endocrinology    |
| 14777238567 |     134795 | Gastroenterology |
| 14777238567 |     104607 | Gynecology       |
| 14777238567 |     129841 | Neurology        |
| 14777238567 |     217095 | Neurosurgery     |
| 14777238567 |     283284 | Oncology         |
| 14777238567 |     186125 | Orthopedics      |
| 14777238567 |     185683 | Pediatrics       |
| 14777238567 |     341751 | Psychiatry       |
| 14777238567 |     273132 | Pulmonology      |
| 14777238567 |     263645 | Radiology        |
| 15576111026 |     136921 | Anesthesiology   |
| 15576111026 |     190552 | Cardiology       |
| 15576111026 |     127855 | Dermatology      |
| 15576111026 |     453936 | Emergency        |
| 15576111026 |     384633 | Endocrinology    |
| 15576111026 |     133512 | Gastroenterology |
| 15576111026 |     111845 | Gynecology       |
| 15576111026 |     151960 | Neurology        |
| 15576111026 |     217477 | Neurosurgery     |
| 15576111026 |     259577 | Oncology         |
| 15576111026 |      90243 | Orthopedics      |
| 15576111026 |      55138 | Pediatrics       |
| 15576111026 |      54403 | Psychiatry       |
| 15576111026 |      81047 | Pulmonology      |
| 15576111026 |      70113 | Radiology        |
| 15607764854 |     108130 | Anesthesiology   |
| 15607764854 |     102545 | Cardiology       |
| 15607764854 |      85371 | Dermatology      |
| 15607764854 |     499791 | Emergency        |
| 15607764854 |     211127 | Endocrinology    |
| 15607764854 |     119972 | Gastroenterology |
| 15607764854 |      89692 | Gynecology       |
| 15607764854 |     122659 | Neurology        |
| 15607764854 |     156360 | Neurosurgery     |
| 15607764854 |     350541 | Oncology         |
| 15607764854 |     134662 | Orthopedics      |
| 15607764854 |     133584 | Pediatrics       |
| 15607764854 |     212245 | Psychiatry       |
| 15607764854 |     217151 | Pulmonology      |
| 15607764854 |     114537 | Radiology        |
| 16160341392 |      71286 | Anesthesiology   |
| 16160341392 |      58969 | Cardiology       |
| 16160341392 |      37971 | Dermatology      |
| 16160341392 |      97160 | Emergency        |
| 16160341392 |      48670 | Endocrinology    |
| 16160341392 |     136602 | Gastroenterology |
| 16160341392 |      95637 | Gynecology       |
| 16160341392 |     157098 | Neurology        |
| 16160341392 |     241403 | Neurosurgery     |
| 16160341392 |     220495 | Oncology         |
| 16160341392 |     209412 | Orthopedics      |
| 16160341392 |     199463 | Pediatrics       |
| 16160341392 |     283153 | Psychiatry       |
| 16160341392 |     261586 | Pulmonology      |
| 16160341392 |     188816 | Radiology        |
| 16416128552 |     164840 | Anesthesiology   |
| 16416128552 |     134966 | Cardiology       |
| 16416128552 |     144719 | Dermatology      |
| 16416128552 |     692287 | Emergency        |
| 16416128552 |     551250 | Endocrinology    |
| 16416128552 |     143203 | Gastroenterology |
| 16416128552 |      93478 | Gynecology       |
| 16416128552 |     166656 | Neurology        |
| 16416128552 |     231877 | Neurosurgery     |
| 16416128552 |     212207 | Oncology         |
| 16416128552 |      49561 | Orthopedics      |
| 16416128552 |      85154 | Pediatrics       |
| 16416128552 |     146795 | Psychiatry       |
| 16416128552 |     131034 | Pulmonology      |
| 16416128552 |      36005 | Radiology        |
| 18639800390 |     111348 | Anesthesiology   |
| 18639800390 |      98525 | Cardiology       |
| 18639800390 |      86960 | Dermatology      |
| 18639800390 |     520739 | Emergency        |
| 18639800390 |     174383 | Endocrinology    |
| 18639800390 |     131670 | Gastroenterology |
| 18639800390 |     129750 | Gynecology       |
| 18639800390 |     151919 | Neurology        |
| 18639800390 |     256808 | Neurosurgery     |
| 18639800390 |     177104 | Oncology         |
| 18639800390 |     126743 | Orthopedics      |
| 18639800390 |     162716 | Pediatrics       |
| 18639800390 |     197790 | Psychiatry       |
| 18639800390 |     198330 | Pulmonology      |
| 18639800390 |     102455 | Radiology        |
| 18906145412 |      35999 | Anesthesiology   |
| 18906145412 |      46356 | Cardiology       |
| 18906145412 |      42930 | Dermatology      |
| 18906145412 |     437315 | Emergency        |
| 18906145412 |     112379 | Endocrinology    |
| 18906145412 |     141778 | Gastroenterology |
| 18906145412 |      96170 | Gynecology       |
| 18906145412 |     173496 | Neurology        |
| 18906145412 |     214850 | Neurosurgery     |
| 18906145412 |     213824 | Oncology         |
| 18906145412 |     163764 | Orthopedics      |
| 18906145412 |     223842 | Pediatrics       |
| 18906145412 |     338792 | Psychiatry       |
| 18906145412 |     300284 | Pulmonology      |
| 18906145412 |     212430 | Radiology        |
| 19634353963 |     140118 | Anesthesiology   |
| 19634353963 |     189581 | Cardiology       |
| 19634353963 |     121479 | Dermatology      |
| 19634353963 |     620695 | Emergency        |
| 19634353963 |     216914 | Endocrinology    |
| 19634353963 |     140689 | Gastroenterology |
| 19634353963 |     104868 | Gynecology       |
| 19634353963 |     176106 | Neurology        |
| 19634353963 |     227384 | Neurosurgery     |
| 19634353963 |     203246 | Oncology         |
| 19634353963 |      75926 | Orthopedics      |
| 19634353963 |      68085 | Pediatrics       |
| 19634353963 |      56819 | Psychiatry       |
| 19634353963 |      81845 | Pulmonology      |
| 19634353963 |      65553 | Radiology        |
| 20000000001 |     106132 | Anesthesiology   |
| 20000000001 |     101223 | Cardiology       |
| 20000000001 |      83145 | Dermatology      |
| 20000000001 |     576339 | Emergency        |
| 20000000001 |     117613 | Endocrinology    |
| 20000000001 |     113546 | Gastroenterology |
| 20000000001 |      93669 | Gynecology       |
| 20000000001 |     120858 | Neurology        |
| 20000000001 |     175377 | Neurosurgery     |
| 20000000001 |     323344 | Oncology         |
| 20000000001 |     138718 | Orthopedics      |
| 20000000001 |     167957 | Pediatrics       |
| 20000000001 |     185579 | Psychiatry       |
| 20000000001 |     208641 | Pulmonology      |
| 20000000001 |     101576 | Radiology        |
| 20000000002 |      74120 | Anesthesiology   |
| 20000000002 |      51068 | Cardiology       |
| 20000000002 |      44676 | Dermatology      |
| 20000000002 |     100682 | Emergency        |
| 20000000002 |      48195 | Endocrinology    |
| 20000000002 |     132913 | Gastroenterology |
| 20000000002 |     116204 | Gynecology       |
| 20000000002 |     184237 | Neurology        |
| 20000000002 |     288901 | Neurosurgery     |
| 20000000002 |     159688 | Oncology         |
| 20000000002 |     202613 | Orthopedics      |
| 20000000002 |     261791 | Pediatrics       |
| 20000000002 |     224182 | Psychiatry       |
| 20000000002 |     256894 | Pulmonology      |
| 20000000002 |     193793 | Radiology        |
| 20000000003 |     167618 | Anesthesiology   |
| 20000000003 |     137483 | Cardiology       |
| 20000000003 |     161940 | Dermatology      |
| 20000000003 |     750322 | Emergency        |
| 20000000003 |     459937 | Endocrinology    |
| 20000000003 |     127009 | Gastroenterology |
| 20000000003 |     113288 | Gynecology       |
| 20000000003 |     197624 | Neurology        |
| 20000000003 |     325648 | Neurosurgery     |
| 20000000003 |     138961 | Oncology         |
| 20000000003 |      50478 | Orthopedics      |
| 20000000003 |     135958 | Pediatrics       |
| 20000000003 |     116255 | Psychiatry       |
| 20000000003 |     122833 | Pulmonology      |
| 20000000003 |      36634 | Radiology        |
| 20000000004 |     120693 | Anesthesiology   |
| 20000000004 |      97964 | Cardiology       |
| 20000000004 |     163396 | Dermatology      |
| 20000000004 |     511408 | Emergency        |
| 20000000004 |     113187 | Endocrinology    |
| 20000000004 |     141685 | Gastroenterology |
| 20000000004 |     127188 | Gynecology       |
| 20000000004 |     194710 | Neurology        |
| 20000000004 |     272932 | Neurosurgery     |
| 20000000004 |     160172 | Oncology         |
| 20000000004 |     133233 | Orthopedics      |
| 20000000004 |     190740 | Pediatrics       |
| 20000000004 |     173512 | Psychiatry       |
| 20000000004 |     195318 | Pulmonology      |
| 20000000004 |      97699 | Radiology        |
| 20000000005 |      37014 | Anesthesiology   |
| 20000000005 |      54113 | Cardiology       |
| 20000000005 |     145362 | Dermatology      |
| 20000000005 |     382332 | Emergency        |
| 20000000005 |      63438 | Endocrinology    |
| 20000000005 |     122043 | Gastroenterology |
| 20000000005 |     111240 | Gynecology       |
| 20000000005 |     202583 | Neurology        |
| 20000000005 |     316215 | Neurosurgery     |
| 20000000005 |     130878 | Oncology         |
| 20000000005 |     172457 | Orthopedics      |
| 20000000005 |     249921 | Pediatrics       |
| 20000000005 |     329643 | Psychiatry       |
| 20000000005 |     280637 | Pulmonology      |
| 20000000005 |     211744 | Radiology        |
| 20000000006 |     151366 | Anesthesiology   |
| 20000000006 |     182508 | Cardiology       |
| 20000000006 |     263315 | Dermatology      |
| 20000000006 |     503320 | Emergency        |
| 20000000006 |     199380 | Endocrinology    |
| 20000000006 |     113691 | Gastroenterology |
| 20000000006 |     111013 | Gynecology       |
| 20000000006 |     211144 | Neurology        |
| 20000000006 |     318655 | Neurosurgery     |
| 20000000006 |     123471 | Oncology         |
| 20000000006 |      71669 | Orthopedics      |
| 20000000006 |      49527 | Pediatrics       |
| 20000000006 |      58150 | Psychiatry       |
| 20000000006 |      87062 | Pulmonology      |
| 20000000006 |      54405 | Radiology        |
| 20000000007 |     123343 | Anesthesiology   |
| 20000000007 |      97154 | Cardiology       |
| 20000000007 |     242416 | Dermatology      |
| 20000000007 |     448421 | Emergency        |
| 20000000007 |     117634 | Endocrinology    |
| 20000000007 |     104957 | Gastroenterology |
| 20000000007 |     109390 | Gynecology       |
| 20000000007 |     132108 | Neurology        |
| 20000000007 |     256085 | Neurosurgery     |
| 20000000007 |     263912 | Oncology         |
| 20000000007 |     122310 | Orthopedics      |
| 20000000007 |     194725 | Pediatrics       |
| 20000000007 |     168775 | Psychiatry       |
| 20000000007 |     195692 | Pulmonology      |
| 20000000007 |      86401 | Radiology        |
| 20000000008 |      89351 | Anesthesiology   |
| 20000000008 |      41562 | Cardiology       |
| 20000000008 |      47939 | Dermatology      |
| 20000000008 |      88370 | Emergency        |
| 20000000008 |      57977 | Endocrinology    |
| 20000000008 |     112530 | Gastroenterology |
| 20000000008 |     106791 | Gynecology       |
| 20000000008 |     234812 | Neurology        |
| 20000000008 |     315362 | Neurosurgery     |
| 20000000008 |     119138 | Oncology         |
| 20000000008 |     190819 | Orthopedics      |
| 20000000008 |     279640 | Pediatrics       |
| 20000000008 |     214528 | Psychiatry       |
| 20000000008 |     247448 | Pulmonology      |
| 20000000008 |     179587 | Radiology        |
| 20000000009 |     178516 | Anesthesiology   |
| 20000000009 |     135605 | Cardiology       |
| 20000000009 |     305162 | Dermatology      |
| 20000000009 |     622058 | Emergency        |
| 20000000009 |     453974 | Endocrinology    |
| 20000000009 |     109057 | Gastroenterology |
| 20000000009 |     105754 | Gynecology       |
| 20000000009 |     231571 | Neurology        |
| 20000000009 |     314418 | Neurosurgery     |
| 20000000009 |     132051 | Oncology         |
| 20000000009 |      52257 | Orthopedics      |
| 20000000009 |     149110 | Pediatrics       |
| 20000000009 |     101505 | Psychiatry       |
| 20000000009 |      95728 | Pulmonology      |
| 20000000009 |      36442 | Radiology        |
| 20000000010 |     124846 | Anesthesiology   |
| 20000000010 |     101024 | Cardiology       |
| 20000000010 |     271158 | Dermatology      |
| 20000000010 |     412091 | Emergency        |
| 20000000010 |     118702 | Endocrinology    |
| 20000000010 |     146966 | Gastroenterology |
| 20000000010 |     110165 | Gynecology       |
| 20000000010 |     213228 | Neurology        |
| 20000000010 |     256055 | Neurosurgery     |
| 20000000010 |     169492 | Oncology         |
| 20000000010 |     114935 | Orthopedics      |
| 20000000010 |     209674 | Pediatrics       |
| 20000000010 |     151576 | Psychiatry       |
| 20000000010 |     181489 | Pulmonology      |
| 20000000010 |      87532 | Radiology        |
| 20000000011 |      36412 | Anesthesiology   |
| 20000000011 |      57650 | Cardiology       |
| 20000000011 |     251122 | Dermatology      |
| 20000000011 |     299387 | Emergency        |
| 20000000011 |      55233 | Endocrinology    |
| 20000000011 |     119775 | Gastroenterology |
| 20000000011 |      96561 | Gynecology       |
| 20000000011 |     231365 | Neurology        |
| 20000000011 |     303807 | Neurosurgery     |
| 20000000011 |     126642 | Oncology         |
| 20000000011 |     158857 | Orthopedics      |
| 20000000011 |     263128 | Pediatrics       |
| 20000000011 |     306531 | Psychiatry       |
| 20000000011 |     293994 | Pulmonology      |
| 20000000011 |     205412 | Radiology        |
| 20000000012 |     163958 | Anesthesiology   |
| 20000000012 |     174904 | Cardiology       |
| 20000000012 |     385298 | Dermatology      |
| 20000000012 |     405585 | Emergency        |
| 20000000012 |     217691 | Endocrinology    |
| 20000000012 |     117750 | Gastroenterology |
| 20000000012 |      93291 | Gynecology       |
| 20000000012 |     223138 | Neurology        |
| 20000000012 |     305675 | Neurosurgery     |
| 20000000012 |     129866 | Oncology         |
| 20000000012 |      55205 | Orthopedics      |
| 20000000012 |      55190 | Pediatrics       |
| 20000000012 |      55039 | Psychiatry       |
| 20000000012 |      98075 | Pulmonology      |
| 20000000012 |      42813 | Radiology        |
| 20000000013 |     119751 | Anesthesiology   |
| 20000000013 |      94525 | Cardiology       |
| 20000000013 |     350570 | Dermatology      |
| 20000000013 |     350941 | Emergency        |
| 20000000013 |     126070 | Endocrinology    |
| 20000000013 |      98924 | Gastroenterology |
| 20000000013 |      98583 | Gynecology       |
| 20000000013 |     125274 | Neurology        |
| 20000000013 |     260377 | Neurosurgery     |
| 20000000013 |     270201 | Oncology         |
| 20000000013 |     110763 | Orthopedics      |
| 20000000013 |     228354 | Pediatrics       |
| 20000000013 |     157780 | Psychiatry       |
| 20000000013 |     185339 | Pulmonology      |
| 20000000013 |      88736 | Radiology        |
| 20000000014 |      75973 | Anesthesiology   |
| 20000000014 |      40581 | Cardiology       |
| 20000000014 |      80345 | Dermatology      |
| 20000000014 |      65266 | Emergency        |
| 20000000014 |      59849 | Endocrinology    |
| 20000000014 |     114558 | Gastroenterology |
| 20000000014 |      94103 | Gynecology       |
| 20000000014 |     217971 | Neurology        |
| 20000000014 |     302945 | Neurosurgery     |
| 20000000014 |     117682 | Oncology         |
| 20000000014 |     180669 | Orthopedics      |
| 20000000014 |     298759 | Pediatrics       |
| 20000000014 |     197545 | Psychiatry       |
| 20000000014 |     245618 | Pulmonology      |
| 20000000014 |     185071 | Radiology        |
| 20000000015 |     155880 | Anesthesiology   |
| 20000000015 |     129336 | Cardiology       |
| 20000000015 |     423305 | Dermatology      |
| 20000000015 |     535040 | Emergency        |
| 20000000015 |     445644 | Endocrinology    |
| 20000000015 |     110257 | Gastroenterology |
| 20000000015 |     106964 | Gynecology       |
| 20000000015 |     216234 | Neurology        |
| 20000000015 |     292741 | Neurosurgery     |
| 20000000015 |     118490 | Oncology         |
| 20000000015 |      56578 | Orthopedics      |
| 20000000015 |     165630 | Pediatrics       |
| 20000000015 |     101460 | Psychiatry       |
| 20000000015 |      74402 | Pulmonology      |
| 20000000015 |      60021 | Radiology        |
| 20000000016 |      99710 | Anesthesiology   |
| 20000000016 |      91844 | Cardiology       |
| 20000000016 |     377841 | Dermatology      |
| 20000000016 |     308370 | Emergency        |
| 20000000016 |     130833 | Endocrinology    |
| 20000000016 |     134387 | Gastroenterology |
| 20000000016 |     128374 | Gynecology       |
| 20000000016 |     187823 | Neurology        |
| 20000000016 |     246082 | Neurosurgery     |
| 20000000016 |     162557 | Oncology         |
| 20000000016 |     126539 | Orthopedics      |
| 20000000016 |     211267 | Pediatrics       |
| 20000000016 |     154925 | Psychiatry       |
| 20000000016 |     177218 | Pulmonology      |
| 20000000016 |      99046 | Radiology        |
| 20000000017 |      41297 | Anesthesiology   |
| 20000000017 |      47928 | Cardiology       |
| 20000000017 |     307754 | Dermatology      |
| 20000000017 |     247589 | Emergency        |
| 20000000017 |      73434 | Endocrinology    |
| 20000000017 |     104759 | Gastroenterology |
| 20000000017 |     130554 | Gynecology       |
| 20000000017 |     197830 | Neurology        |
| 20000000017 |     274268 | Neurosurgery     |
| 20000000017 |     129217 | Oncology         |
| 20000000017 |     184516 | Orthopedics      |
| 20000000017 |     261210 | Pediatrics       |
| 20000000017 |     331894 | Psychiatry       |
| 20000000017 |     268713 | Pulmonology      |
| 20000000017 |     206483 | Radiology        |
| 20000000018 |     138043 | Anesthesiology   |
| 20000000018 |     165515 | Cardiology       |
| 20000000018 |     452265 | Dermatology      |
| 20000000018 |     339342 | Emergency        |
| 20000000018 |     228897 | Endocrinology    |
| 20000000018 |     106052 | Gastroenterology |
| 20000000018 |     146881 | Gynecology       |
| 20000000018 |     202839 | Neurology        |
| 20000000018 |     285501 | Neurosurgery     |
| 20000000018 |     135278 | Oncology         |
| 20000000018 |      57109 | Orthopedics      |
| 20000000018 |      57261 | Pediatrics       |
| 20000000018 |      77019 | Psychiatry       |
| 20000000018 |      74253 | Pulmonology      |
| 20000000018 |      34853 | Radiology        |
| 20000000019 |     105941 | Anesthesiology   |
| 20000000019 |      89604 | Cardiology       |
| 20000000019 |     506196 | Dermatology      |
| 20000000019 |     185399 | Emergency        |
| 20000000019 |     131139 | Endocrinology    |
| 20000000019 |      97919 | Gastroenterology |
| 20000000019 |     110405 | Gynecology       |
| 20000000019 |     138899 | Neurology        |
| 20000000019 |     222485 | Neurosurgery     |
| 20000000019 |     290887 | Oncology         |
| 20000000019 |     148714 | Orthopedics      |
| 20000000019 |     198790 | Pediatrics       |
| 20000000019 |     214680 | Psychiatry       |
| 20000000019 |     117510 | Pulmonology      |
| 20000000019 |      98570 | Radiology        |
| 20000000020 |      57916 | Anesthesiology   |
| 20000000020 |      39795 | Cardiology       |
| 20000000020 |     103097 | Dermatology      |
| 20000000020 |      45550 | Emergency        |
| 20000000020 |      63566 | Endocrinology    |
| 20000000020 |     103302 | Gastroenterology |
| 20000000020 |     157190 | Gynecology       |
| 20000000020 |     271124 | Neurology        |
| 20000000020 |     224164 | Neurosurgery     |
| 20000000020 |     131629 | Oncology         |
| 20000000020 |     231029 | Orthopedics      |
| 20000000020 |     267280 | Pediatrics       |
| 20000000020 |     273288 | Psychiatry       |
| 20000000020 |     157760 | Pulmonology      |
| 20000000020 |     203416 | Radiology        |
| 20000000021 |     148678 | Anesthesiology   |
| 20000000021 |     133507 | Cardiology       |
| 20000000021 |     569279 | Dermatology      |
| 20000000021 |     423715 | Emergency        |
| 20000000021 |     422720 | Endocrinology    |
| 20000000021 |      98025 | Gastroenterology |
| 20000000021 |     168442 | Gynecology       |
| 20000000021 |     269017 | Neurology        |
| 20000000021 |     215084 | Neurosurgery     |
| 20000000021 |     125495 | Oncology         |
| 20000000021 |     104216 | Orthopedics      |
| 20000000021 |     138246 | Pediatrics       |
| 20000000021 |     131068 | Psychiatry       |
| 20000000021 |      37163 | Pulmonology      |
| 20000000021 |      65795 | Radiology        |
| 20000000022 |      99750 | Anesthesiology   |
| 20000000022 |      89043 | Cardiology       |
| 20000000022 |     524593 | Dermatology      |
| 20000000022 |     159871 | Emergency        |
| 20000000022 |     140660 | Endocrinology    |
